ID,Code,Address/Intersection/Area,Latitude,Longitude
317195,PFI10,Bertelsen,44.0551557073255,-123.159772252601
317224,PFI10,5th/Wallis,44.0546870042551,-123.148699632243
317372,PFI10,Skinners Butte,44.0633000573889,-123.100932773005
317389,PFI10,AB,44.0519781280748,-123.068834840468
317393,PFI10,AB,44.0531290338279,-123.067352307030
317556,PFI10,WJ,44.0532107916695,-123.100494289524
317952,PFI10,Melvin Miller,44.0299916725367,-123.134524544640
318241,PFI10,AC,44.0422790322361,-123.122030475975
318452,PFI10,Skinners Butte,44.0578392688912,-123.092145993249
318709,PFI10,Knickerbocker,44.0447898821852,-123.052768845346
320620,PFI10,Delta Ponds,44.0737754474770,-123.114090265186
321018,PFI10,Scobert,44.0551368743644,-123.109953823532
